127.0.0.1 - - [06/Jan/2018:23:03:12 +0900] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:03:13 +0900] "GET /ex4/4_1.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:27:33 +0900] "GET /ex4/4_2.html HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:27:44 +0900] "POST /ex4/4_2.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:28:49 +0900] "GET /ex4/4_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:29:01 +0900] "POST /ex4/4_2.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:29:53 +0900] "GET /ex4/4_2.html HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:30:04 +0900] "POST /ex4/4_2.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:34:27 +0900] "GET /ex4/4_3.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:35:05 +0900] "GET /ex4/4_3.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:43:04 +0900] "GET /ex4/4_3.html HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:43:06 +0900] "POST /ex4/4_3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:43:06 +0900] "GET /ex4/4_3_2.jsp?age=13 HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:43:21 +0900] "POST /ex4/4_3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:43:21 +0900] "GET /ex4/4_3_1.jsp?age=20 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:37 +0900] "GET /ex4/4_3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:39 +0900] "POST /ex4/4_3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:39 +0900] "GET /ex4/4_3_1.jsp?age=20 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:43 +0900] "POST /ex4/4_3.jsp HTTP/1.1" 500 2847
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:49 +0900] "POST /ex4/4_3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:49 +0900] "GET /ex4/4_3_1.jsp?age=20 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:52 +0900] "POST /ex4/4_3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2018:23:44:52 +0900] "GET /ex4/4_3_1.jsp?age=222 HTTP/1.1" 200 354
